A.J. Greer
Brandon Saad
Brandon Scanlin
Brandon Tanev
Brandt Clarke
Brayden McNabb
Brayden Pachal
Brayden Point
Brayden Schenn
Brayden Yager
Brendan Brisson
Brendan Gallagher
Brendan Gaunce
Brendan Lemieux
Brendan Smith
Brenden Dillon
Brennan Othmann
Brent Burns
Brett Berard
Brett Howden
Brett Kulak
Brett Leason
Brett Pesce
Brian Dumoulin
Brian Halonen
Brock Boeser
Brock Faber
Brock McGinn
Brock Nelson
Bryan Rust
Cade Webber
Cale Fleury
Cale Makar
Caleb Jones
Calle Jarnkrok
Calum Ritchie
Calvin de Haan
Calvin Pickard
Cam Atkinson
Cam Dineen
Cam Fowler
Cam Lund
Cam Talbot
Cam York
Cameron Crotty
Carl Grundstrom
Carl Lindbom
Carson Lambos
Carson Soucy
Carter George
Carter Hart
Carter Mazur
Carter Verhaeghe
Carter Yakemchuk
Casey Cizikas
Casey DeSmith
Casey Mittelstadt
Cayden Primeau
Chandler Stephenson
Charle Edouard D'Astous
Charles Alexis Legault
Charlie Coyle
Charlie Lindgren
Charlie McAvoy
Chris Driedger
Chris Kreider
Chris Tanev
Chris Wagner
Christian Dvorak
Christian Fischer
Christian Wolanin
Christoffer Sedoff
Claude Giroux
Clayton Keller
Cody Ceci
Cody Glass
Cole Caufield
Cole Koepke
Cole McWard
Cole Perfetti
Cole Reinhardt
Cole Schwindt
Cole Sillinger
Cole Smith
Colin Blackwell
Colin Miller
Collin Graf
Colten Ellis
Colton Dach
Colton Parayko
Colton Sissons
Colton White
Connor Bedard
Connor Brown
Connor Clifton
Connor Dewar
Connor Hellebuyck
Connor Ingram
Connor Mackey
Connor McDavid
Connor McMichael
Connor Murphy
Connor Zary
Conor Garland
Conor Sheary
Conor Timmins
Corey Perry
Craig Smith
Curtis Douglas
Curtis Lazar
Cutter Gauthier
Daemon Hunt
Dakota Joshua
Dakota Mermis
Dalibor Dvorsky
Damon Severson
Dan Vladar
Daniel Sprong
Daniil But
Daniil Miromanov
Daniil Tarasov
Danil Zhilkin
Danila Klimovich
Danila Yurov
Dante Fabbro
Danton Heinen
Darcy Kuemper
Darnell Nurse
Darren Raddysh
David Gustafsson
David Jiricek
David Kampf
David Pastrnak
David Perron
David Rittich
David Savard
David Spacek
Dawson Mercer
Declan Carlile
Declan Chisholm
Dennis Cholowski
Dennis Gilbert
Dennis Hildeby
Denton Mateychuk
Denver Barkey
Derek Forbort
Derek Ryan
Devin Cooley
Devin Kaplan
Devin Shore
Devon Toews
Dmitri Voronkov
Dmitry Kulikov
Dmitry Orlov
Dominic James
Dominic Toninato
Donovan Sebrango
Dougie Hamilton
Drake Batherson
Drew Doughty
Drew Helleson
Drew O'Connor
Dryden Hunt
Dustin Wolf
Dylan Coghlan
Dylan Cozens
Dylan DeMelo
Dylan Garand
Dylan Guenther
Dylan Holloway
Dylan Larkin
Dylan McIlrath
Dylan Samberg
Dylan Strome
Dysin Mayo
Easton Cowan
Eeli Tolvanen
Eetu Luostarinen
Egor Chinakhov
Egor Zamula
Elias Lindholm
Elias Pettersson
Elias Salomonsson
Elmer Soderblom
Elvis Merzlikins
Emil Andrae
Emil Heineman
Emil Lilleberg
Emmitt Finnie
Eric Comrie
Eric Robinson
Erik Cernak
Erik Gudbranson
Erik Gustafsson
Erik Haula
Erik Johnson
Erik Karlsson
Esa Lindell
Ethan Bear
Ethen Frank
Evan Bouchard
Evan Rodrigues
Evander Kane
Evgeni Malkin
Evgenii Dadonov
Evgeny Kuznetsov
Fabian Zetterlund
Fedor Svechkov
Filip Chytil
Filip Forsberg
Filip Gustavsson
Filip Hallander
Filip Hronek
Francesco Pinelli
Frank Nazar
Frank Vatrano
Fraser Minten
Frederick Gaudreau
Frederik Andersen
Gabe Perreault
Gabriel Landeskog
Gabriel Vilardi
Gage Goncalves
Garnet Hathaway
Garrett Pilon
Gavin Brindley
Georgi Romanov
Georgii Merkulov
Givani Smith
Grigori Denisenko
Gustav Forsling
Gustav Nyquist
Hampus Lindholm
Hayden Hodgson
Haydn Fleury
Hendrix Lapierre
Henri Jokiharju
Henry Thrun
Hudson Fasching
Hunter Brzustewicz
Hunter Haight
Hunter McDonald
Ian Cole
Ian Mitchell
Ian Moore
Igor Chernyshov
Igor Shesterkin
Ilya Lyubushkin
Ilya Mikheyev
Ilya Samsonov
Ilya Solovyov
Ilya Sorokin
Isaac Howard
Isaac Poulter
Isaak Phillips
Isac Lundeström
Isaiah Saville
Ivan Barbashev
Ivan Demidov
Ivan Fedotov
Ivan Provorov
J.J. Moser
J.T. Compher
J.T. Miller
Jaccob Slavin
Jack Ahcan
Jack Campbell
Jack Drury
Jack Eichel
Jack Finley
Jack Hughes
Jack Johnson
Jack McBain
Jack Quinn
Jack Roslovic
Jack St. Ivany
Jack Studnicka
Jack Williams
Jackson Blake
Jackson LaCombe
Jacob Bernard Docker
Jacob Bryson
Jacob Markstrom
Jacob Moverare
Jacob Quillan
Jacob Trouba
Jaden Schwartz
Jake Allen
Jake Bean
Jake Christiansen
Jake DeBrusk
Jake Evans
Jake Guentzel
Jake Leschyshyn
Jake McCabe
Jake Middleton
Jake Neighbours
Jake Oettinger
Jake Sanderson
Jake Walman
Jakob Chychrun
Jakob Pelletier
Jakub Dobes
Jakub Lauko
Jakub Skarek
Jakub Vrana
Jalen Chatfield
James Hamblin
James Reimer
James van Riemsdyk
Jamie Benn
Jamie Drysdale
Jamie Oleksiak
Jan Jenik
Jan Rutta
Jani Hakanpää
Jansen Harkins
Jared McCann
Jared Spurgeon
Jaret Anderson Dolan
Jason Dickinson
Jason Robertson
Jason Zucker
Jaycob Megna
Jayden Struble
Jean Gabriel Pageau
Jean Luc Foudy
Jeff Malott
Jeff Petry
Jeff Skinner
Jeffrey Viel
Jeremy Lauzon
Jeremy Swayman
Jesper Boqvist
Jesper Bratt
Jesper Fast
Jesper Vikman
Jesper Wallstedt
Jesperi Kotkaniemi
Jesse Puljujarvi
Jet Greaves
Jimmy Snuggerud
Jimmy Vesey
Jiri Kulich
JJ Peterka
Joe Veleno
Joel Armia
Joel Edmundson
Joel Eriksson Ek
Joel Farabee
Joel Hanley
Joel Hofer
Joel Kiviranta
Joel Nystrom
Joey Daccord
John Beecher
John Carlson
John Gibson
John Hayden
John Klingberg
John Ludvig
John Marino
John Tavares
Johnathan Kovacevic
Johnny Gaudreau
Jon Merrill
Jonah Gadjovich
Jonas Brodin
Jonas Johansson
Jonas Rondbjerg
Jonas Siegenthaler
Jonatan Berggren
Jonathan Aspirot
Jonathan Drouin
Jonathan Huberdeau
Jonathan Lekkerimäki
Jonathan Marchessault
Jonathan Quick
Jonathan Toews
Jonny Brodzinski
Joona Koppanen
Joonas Korpisalo
Jordan Binnington
Jordan Eberle
Jordan Greenway
Jordan Harris
Jordan Kyrou
Jordan Martinook
Jordan Oesterle
Jordan Spence
Jordan Staal
Joseph Woll
Josh Anderson
Josh Doan
Josh Dunne
Josh Manson
Josh Morrissey
Josh Norris
Joshua Brown
Joshua Mahura
Juha Jaaska
Juho Lammikko
Julien Gauthier
Juraj Slafkovský
Justin Bailey
Justin Barron
Justin Brazeau
Justin Danforth
Justin Dowling
Justin Faulk
Justin Holl
Justin Hryckowian
Justin Kirkland
Justin Sourdif
Justus Annunen
Juuse Saros
Juuso Parssinen
K'Andre Miller
Kaapo Kakko
Kaedan Korczak
Kaiden Guhle
Kailer Yamamoto
Kale Clague
Karel Vejmelka
Karsen Dorwart
Kasperi Kapanen
Keaton Middleton
Keegan Kolesar
Kent Johnson
Kevin Bahl
Kevin Fiala
Kevin Hayes
Kevin Korchinski
Kevin Labanc
Kevin Lankinen
Kevin Rooney
Kevin Stenlund
Kiefer Sherwood
Kirby Dach
Kirill Kaprizov
Kirill Marchenko
Klim Kostin
Konsta Helenius
Kris Letang
Kurtis MacDermid
Kyle Burroughs
Kyle Capobianco
Kyle Connor
Kyle MacLean
Kyle Palmieri
Landon Slaggert
Lane Hutson
Lane Pederson
Lars Eller
Lawson Crouse
Leevi Meriläinen
Lenni Hameenaho
Leo Carlsson
Leon Draisaitl
Liam O'Brien
Liam Ohgren
Lian Bichsel
Linus Karlsson
Linus Ullmark
Logan Cooley
Logan Couture
Logan Mailloux
Logan O'Connor
Logan Stankoven
Logan Stanley
Logan Thompson
Louis Crevier
Louis Domingue
Lucas Raymond
Lukas Cormier
Lukas Dostal
Lukas Reichel
Luke Evangelista
Luke Glendening
Luke Hughes
Luke Kunin
Luke Schenn
Mackenzie Blackwood
MacKenzie Weegar
Mackie Samoskevich
Macklin Celebrini
Mads Sogaard
Marat Khusnutdinov
Marc Andre Fleury
Marc Edouard Vlasic
Marc Gatcomb
Marc McLaughlin
Marco Kasper
Marco Rossi
Marcus Foligno
Marcus Hogberg
Marcus Johansson
Marcus Pettersson
Mario Ferraro
Mark Friedman
Mark Jankowski
Mark Kastelic
Mark Scheifele
Mark Stone
Marshall Rifai
Martin Fehérváry
Martin Necas
Martin Pospisil
Mason Appleton
Mason Lohrei
Mason Marchment
Mason McTavish
Mason Morelli
Mason Shaw
Matěj Blümel
Mathew Barzal
Mathew Dumba
Mathieu Joseph
Mathieu Olivier
Matias Maccelli
Mats Zuccarello
Matt Benning
Matt Boldy
Matt Coronato
Matt Duchene
Matt Grzelcyk
Matt Kiersted
Matt Martin
Matt Murray
Matt Nieto
Matt Rempe
Matt Roy
Matt Savoie
Matthew Highmore
Matthew Kessel
Matthew Knies
Matthew Poitras
Matthew Robertson
Matthew Schaefer
Matthew Tkachuk
Matthew Wood
Mattias Ekholm
Mattias Janmark
Mattias Samuelsson
Matty Beniers
Matvei Gridin
Matvei Michkov
Mavrik Bourque
Max Crozier
Max Domi
Max Jones
Max Pacioretty
Max Sasson
Max Shabanov
Maxim Tsyplakov
Michael Amadio
Michael Bunting
Michael Callahan
Michael Carcone
Michael DiPietro
Michael Eyssimont
Michael Kesselring
Michael McCarron
Michael Misa
Michael Pezzetta
Michael Rasmussen
Michael Sgarbossa
Mika Zibanejad
Mikael Backlund
Mikael Granlund
Mike Benning
Mike Hardman
Mike Matheson
Mike Reilly
Mikey Anderson
Mikhail Sergachev
Mikko Kokkonen
Mikko Rantanen
Miles Wood
Miro Heiskanen
Mitch Marner
Mitchell Chaffee
Morgan Barron
Morgan Frost
Morgan Geekie
Morgan Rielly
Moritz Seider
Nate Schmidt
Nathan Bastian
Nathan Légaré
Nathan MacKinnon
Nathan Walker
Nazem Kadri
Neal Pionk
Nic Dowd
Nicholas Robertson
Nick Abruzzese
Nick Bjugstad
Nick Blankenburg
Nick Cousins
Nick DeSimone
Nick Foligno
Nick Jensen
Nick Lardis
Nick Leddy
Nick Paul
Nick Perbix
Nick Schmaltz
Nick Seeler
Nick Suzuki
Nicklas Backstrom
Nico Daws
Nico Hischier
Nico Sturm
Nicolas Aube Kubel
Nicolas Deslauriers
Nicolas Hague
Nicolas Roy
Nikita Alexandrov
Nikita Grebenkin
Nikita Kucherov
Nikita Nesterenko
Nikita Okhotiuk
Nikita Quapp
Nikita Tolopilo
Nikita Zadorov
Niko Mikkola
Nikolai Kovalenko
Nikolaj Ehlers
Nikolas Matinpalo
Nils Aman
Nils Hoglander
Nils Lundkvist
Nino Niederreiter
Noah Cates
Noah Dobson
Noah Gregor
Noah Hanifin
Noah Juulsen
Noah Laba
Noah Ostlund
Noah Philp
Noel Acciari
Nolan Foote
Olen Zellweger
Oliver Bjorkstrand
Oliver Ekman Larsson
Oliver Kapanen
Oliver Kylington
Oliver Moore
Oliver Wahlstrom
Olivier Rodrigue
Olli Määttä
Ondrej Palat
Oskar Bäck
Oskar Sundqvist
Otto Stenberg
Owen Power
Owen Tippett
Ozzy Wiesblatt
P.O Joseph
Parker Ford
Parker Kelly
Parker Wotherspoon
Patrick Brown
Patrick Giles
Patrick Kane
Patrick Maroon
Patrik Laine
Paul Cotter
Pavel Buchnevich
Pavel Dorofeyev
Pavel Mintyukov
Pavel Zacha
Pavol Regenda
Petr Mrazek
Peyton Krebs
Pheonix Copley
Philip Broberg
Philip Kemp
Philip Tomasino
Philipp Grubauer
Philipp Kurashev
Philippe Myers
Phillip Danault
Phillip Di Giuseppe
Pierre Engvall
Pierre Luc Dubois
Pius Suter
Pontus Holmberg
Pyotr Kochetkov
Quinn Hughes
Quinton Byfield
Radek Faksa
Radko Gudas
Rafael Harvey Pinard
Raphael Lavoie
Rasmus Andersson
Rasmus Dahlin
Rasmus Kupari
Rasmus Ristolainen
Rasmus Sandin
Reese Johnson
Reid Schaefer
Reilly Smith
Rémi Poirier
Rickard Rakell
Ridly Greig
Riley Stillman
Robby Fabbri
Robert Bortuzzo
Robert Hagg
Robert Thomas
Rodrigo Abols
Roman Josi
Ronan Seeley
Roni Hirvonen
Roope Hintz
Ross Colton
Ross Johnston
Ruslan Iskhakov
Rutger McGroarty
Ryan Donato
Ryan Ellis
Ryan Graves
Ryan Greene
Ryan Hartman
Ryan Johansen
Ryan Leonard
Ryan Lindgren
Ryan Lomberg
Ryan McDonagh
Ryan McLeod
Ryan Nugent Hopkins
Ryan O'Reilly
Ryan Poehling
Ryan Pulock
Ryan Reaves
Ryan Shea
Ryan Strome
Ryan Suter
Ryan Suzuki
Ryan Winterton
Ryker Evans
Sam Bennett
Sam Carrick
Sam Colangelo
Sam Dickinson
Sam Lafferty
Sam Malinski
Sam Reinhart
Sam Rinzel
Sam Steel
Sammy Blais
Samuel Bolduc
Samuel Ersson
Samuel Girard
Samuel Helenius
Samuel Honzek
Samuel Montembeault
Sandis Vilmanis
Scott Laughton
Scott Mayfield
Scott Morrow
Scott Perunovich
Scott Sabourin
Scott Wedgewood
Seamus Casey
Sean Couturier
Sean Durzi
Sean Kuraly
Sean Monahan
Sean Walker
Sebastian Aho
Semyon Varlamov
Sergei Bobrovsky
Seth Jarvis
Seth Jones
Shakir Mukhamadullin
Shane Pinto
Shane Wright
Shayne Gostisbehere
Shea Theodore
Sidney Crosby
Simon Benoit
Simon Edvinsson
Simon Holmstrom
Simon Lundmark
Simon Nemec
Sonny Milano
Spencer Knight
Spencer Martin
Spencer Stastney
Stefan Noesen
Stephen Halliday
Steven Lorentz
Steven Stamkos
Stuart Skinner
T.J. Oshie
Tage Thompson
Tanner Jeannot
Tanner Laczynski
Tanner Pearson
Taylor Hall
Taylor Raddysh
Taylor Ward
Teddy Blueger
Teuvo Teravainen
Thatcher Demko
Thomas Bordeleau
Thomas Chabot
Thomas Harley
Tim Stützle
Tim Washe
Timo Meier
Timothy Liljegren
Tobias Bjornfot
Tom Willander
Tom Wilson
Tomas Hamara
Tomas Hertl
Tomas Nosek
Tomas Tatar
Tommy Novak
Tony DeAngelo
Topi Niemela
Topias Vilen
Torey Krug
Travis Boyd
Travis Hamonic
Travis Konecny
Travis Sanheim
Trent Frederic
Trent Miner
Trevor Kuntar
Trevor Lewis
Trevor Moore
Trevor van Riemsdyk
Trevor Zegras
Tristan Jarry
Troy Stecher
Troy Terry
Tucker Poolman
Ty Dellandrea
Ty Emberson
Ty Smith
Tye Kartye
Tyler Bertuzzi
Tyler Boucher
Tyler Kleven
Tyler Motte
Tyler Myers
Tyler Pitlick
Tyler Seguin
Tyler Toffoli
Tyler Tucker
Tyson Foerster
Tyson Jost
Tyson Kozak
Ukko Pekka Luukkonen
Urho Vaakanainen
Uvis Balinskis
Valeri Nichushkin
Vasily Podkolzin
Victor Hedman
Victor Mancini
Victor Olofsson
Viktor Arvidsson
Ville Heinola
Ville Husso
Vince Dunn
Vincent Desharnais
Vincent Iorio
Vincent Trocheck
Vinni Lettieri
Vinnie Hinostroza
Vitek Vanecek
Vladimir Tarasenko
Vladislav Gavrikov
Vladislav Kolyachonok
Vladislav Namestnikov
Walker Duehr
Warren Foegele
Will Borgen
Will Cuylle
Will Smith
William Carrier
William Eklund
William Karlsson
William Lagesson
William Lockwood
William Nylander
William Villeneuve
Wyatt Bongiovanni
Wyatt Johnston
Wyatt Kaiser
Xavier Bourgault
Yakov Trenin
Yan Kuznetsov
Yanni Gourde
Yaroslav Askarov
Yegor Sharangovich
Zac Jones
Zach Benson
Zach Bogosian
Zach Hyman
Zach Metsa
Zach Werenski
Zach Whitecloud
Zachary Aston Reese
Zachary Bolduc
Zachary L'Heureux
Zack MacEwen
Zack Ostapchuk
Zakhar Bardakov
Zayne Parekh
Zeev Buium
Zemgus Girgensons
